id,name,naissance,mort,genre,e.date,,,,,,,img-path,prix,prix-id,fond,WP,WD
165,Franz Maria Feldhaus,1874-04-26,1957-05-22,Homme,1928-12-26,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Franz_Maria_Feldhaus%2C_c._1925.jpg,,,,,Q1448177
167,Emil Fellmann,1927-09-17,2012-05-18,Homme,1983-04-15,,,,,,,file_uploads/ulf_246_fellmann.preview.jpg,,,,https://de.wikipedia.org/wiki/Emil_Fellmann,Q1336038
169,Karin Figala,1938-07-08,2008-11-29,Femme,,,,,,,,,,,,https://de.wikipedia.org/wiki/Karin_Figala,Q17496432
170,Jean Filliozat,1906-04-11,1982-10-27,Homme,,,,,,,,,,,,,Q162765
171,Joachim Fleckenstein,1914-07-07,1980-02-21,Homme,1967-12-24,,,,,,,,,,,https://de.wikipedia.org/wiki/Joachim_Otto_Fleckenstein,Q1690355
172,Eric Forbes,1933-01-01,1984-01-01,Homme,1981-03-20,,,,,,,file_uploads/ulf_629_Crombie_Alistair_web.jpg|https://upload.wikimedia.org/wikipedia/commons/6/65/Eric_Gray_Forbes._Photograph._Wellcome_V0026386.jpg,,,,https://en.wikipedia.org/wiki/Eric_G._Forbes,Q18593033
173,John Fotheringham,1874-08-14,1936-12-12,Homme,,,,,,,,,,,,,Q1421803
175,Zdenek Frankenberger,1892-01-24,1966-12-01,Homme,,,,,,,,,,,,,Q12779338
178,Günther Frei,1942-05-19,2020-09-18,Homme,,,,,,,,,,,,https://en.wikipedia.org/wiki/G%C3%BCnther_Frei,Q1561446
179,Hans Freudenthal,1905-09-17,1990-10-13,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Hans_Freudenthal.jpg,,,,https://fr.wikipedia.org/wiki/Hans_Freudenthal,Q77506
180,Ivan Frolov,1929-01-09,1999-11-18,Homme,,,,,,,,file_uploads/ulf_564_Frolov.jpg,,,,https://pl.wikipedia.org/wiki/Iwan_Fro%C5%82ow_(filozof),Q1676003
181,Rudolf Fueter,1880-06-30,1950-09-08,Homme,,,,,,,,file_uploads/ulf_509_Fueter.jpg,,,,,Q1532992
182,Salomon Gandz,1883-02-02,1954-03-30,Homme,,,,,,,,,,,,https://en.wikipedia.org/wiki/Solomon_Gandz,Q7558609
183,Eduardo García de Zúñiga,1867-09-30,1951-02-04,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Eduardo_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga.jpg,,,,https://es.wikipedia.org/wiki/Eduardo_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga,Q5819251
184,Eduardo García del Real,1870-01-03,1947-11-16,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/E._Garcia_del_Real_%28cropped%29.jpg,,,,,Q28916721
185,José García-Diego Ortiz,1919-08-09,1994-01-28,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/45/JA_Garcia_Diego.jpg,,,9.5.5,https://fr.wikipedia.org/wiki/Jos%C3%A9_Antonio_Garc%C3%ADa-Diego,Q5937832
186,Fielding Garrison,1870-05-11,1935-04-18,Homme,,,,,,,,file_uploads/ulf_510_Fielding_Hudson_Garrison.jpg,,,,https://fr.wikipedia.org/wiki/Fielding_H._Garrison,Q3037058
187,Jean Gayon,1949-06-15,2018-04-28,Homme,2010-04-12,,,,,,,file_uploads/ulf_486_Jean-Gayon.jpg,,,,https://fr.wikipedia.org/wiki/Jean_Gayon,Q16267493
189,Aleksandr Gel?fond,1906-11-10,1968-07-11,Homme,,,,,,,,,,,,https://fr.wikipedia.org/wiki/Alexandre_Gelfond,Q716017
