id,name,lat,lng,nation,naissance,mort,c_date,e,e_date,genre,ocupation,link,WP
196,Owen Gingerich,39.7837304,48.1375,Etats Unis,1930-03-24,2023-05-28,1974-02-18,230,1984-09-11,Homme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fd37adozyy71gtb.cloudfront.net%2Fwp-content%2Fuploads%2F2023%2F06%2Fgingerich-2004-r.jpg&f=1&nofb=1&ipt=6169e2d4a334e73969fe827d0e48e725e82d876029cbe54943b2cb751451ad68,https://fr.wikipedia.org/wiki/Owen_Gingerich
198,Mario Gliozzi,41.8933203,48.1375,Italie,1899-03-24,1977-09-06,1936-10-02,64,1948-01-04,Homme,de la physique,https://upload.wikimedia.org/wikipedia/commons/3/3a/MarioGliozzi.jpg,https://it.wikipedia.org/wiki/Mario_Gliozzi
199,Walther Artelt,51.1638175,50.9364,Allemagne,1906-07-23,1976-01-26,1957-11-09,106,1960-02-15,Homme,de la medecine,,https://de.wikipedia.org/wiki/Walter_Artelt
204,Danielle Gourevitch,46.603354,50.9364,France,1941-01-21,2021-06-13,1995-02-02,297,1999-05-05,Femme,philologue,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.babelio.com%2Fusers%2FAVT_Danielle-Gourevitch_5436.jpeg&f=1&nofb=1&ipt=55134046c96c380f7e7def4095619867e2a7e3dffc11217e96aa5e2862b65765,https://fr.wikipedia.org/wiki/Danielle_Gourevitch
206,Ivor Grattan-Guinness,51.5074456,50.9364,Royaume-Uni,1941-06-23,2014-12-12,1986-11-30,263,1991-01-30,Homme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fmathshistory.st-andrews.ac.uk%2FBiographies%2FGrattan-Guinness%2FGrattan-Guinness_4.jpeg&f=1&nofb=1&ipt=218ecfb9e4ff64aba2858e19e38a2da5ec582eca4238071ccc50ce676be18d16,https://fr.wikipedia.org/wiki/Ivor_Grattan-Guinness
229,Charles Homer Haskins,39.7837304,50.9364,Etats Unis,1870-12-21,1937-05-14,,12,1928-02-12,Homme,editeur,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Feditoradanubio.com.br%2Fwp-content%2Fuploads%2F2019%2F08%2Fautor-Charles-Homer-Haskins.png&f=1&nofb=1&ipt=437da53e431cf602772904eb63fdcc98c492a2a7e61f376524f0392b696d83d7,https://fr.wikipedia.org/wiki/Charles_Homer_Haskins
231,Thomas Heath,51.5074456,50.1106,Royaume-Uni,1861-05-10,1940-03-16,,13,1928-12-02,Homme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fkids.kiddle.co%2Fimages%2Fthumb%2F9%2F93%2FThomas_Little_Heath.jpg%2F300px-Thomas_Little_Heath.jpg&f=1&nofb=1&ipt=eb052d69649e00667f47d091370357b5db4475574574e9aeed6f6239903368a8,https://fr.wikipedia.org/wiki/Thomas_Heath
232,Erwin Ackerknecht,39.7837304,50.1106,Suisse,1906-01-06,1988-11-18,1951-03-10,105,1960-02-15,Homme,antropologue,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Falchetron.com%2Fcdn%2Ferwin-ackerknecht-991444fd-d633-4ffd-9983-243a0558e61-resize-750.jpeg&f=1&nofb=1&ipt=657c69903338d22f737cc034c93059433ac795397a1d569d6c81eaa2fbdc407c,https://en.wikipedia.org/wiki/Erwin_Ackerknecht
236,Clarisse Hellman,40.7127281,50.1106,Etats Unis,1910-08-28,1973-03-28,1963-06-26,171,1969-01-12,Femme,de la physique,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fmujeresconciencia.com%2Fapp%2Fuploads%2F2015%2F08%2FHellman.jpg&f=1&nofb=1&ipt=70e2ef663d52dab989740a96144806409078351aa2caa68fb00e756fae41c5b7,https://en.wikipedia.org/wiki/C._Doris_Hellman
239,John Herivel,51.5074456,48.7775,Royaume-Uni,1918-08-29,2011-01-18,1966-10-15,205,1976-04-05,Homme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fmathshistory.st-andrews.ac.uk%2FBiographies%2FHerivel%2FHerivel_3.jpeg&f=1&nofb=1&ipt=78951ba5c98e93fdbe262e0d346f65206e2ee85a66a2039350df570c6dac8f8c,https://fr.wikipedia.org/wiki/John_Herivel
